tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,
595,2017-12-01 07:21:25,2017-12-01 07:31:21,119,South Boston Library - 646 E Broadway,42.335741,-71.03877,31,Seaport Hotel - Congress St at Seaport Ln,42.34881026188269,-71.04167744055303,885,Subscriber,1993,1,
576,2017-12-01 07:21:40,2017-12-01 07:31:17,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,36,Copley Square - Dartmouth St at Boylston St,42.34976701008725,-71.07732653617859,1115,Subscriber,1964,1,
988,2017-12-01 07:21:44,2017-12-01 07:38:13,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,130,Upham's Corner TEMPORARY WINTER LOCATION,42.31750891943043,-71.06416625906604,1877,Subscriber,1996,1,
178,2017-12-01 07:21:47,2017-12-01 07:24:45,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,21,Prudential Center - Belvedere St,42.345959,-71.082578,886,Subscriber,1980,2,
1653,2017-12-01 07:22:09,2017-12-01 07:49:42,47,Cross St at Hanover St,42.362811,-71.056067,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,881,Subscriber,1958,2,
580,2017-12-01 07:22:20,2017-12-01 07:32:00,63,Dorchester Ave at Gillette Park,42.344040510016356,-71.05737626552582,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,711,Subscriber,1959,1,
148,2017-12-01 07:22:37,2017-12-01 07:25:06,139,Dana Park,42.361780439606044,-71.10809952020645,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,920,Subscriber,1983,1,
1224,2017-12-01 07:22:47,2017-12-01 07:43:12,57,Columbus Ave at Massachusetts Ave,42.340542615516355,-71.08138847914233,7,Fan Pier,42.352940802392325,-71.04388475418091,683,Subscriber,1991,1,
338,2017-12-01 07:22:58,2017-12-01 07:28:37,33,Kenmore Square,42.348706,-71.097009,11,Longwood Ave at Binney St,42.338629,-71.1065,1210,Subscriber,1994,1,
1320,2017-12-01 07:23:23,2017-12-01 07:45:23,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,36,Copley Square - Dartmouth St at Boylston St,42.34976701008725,-71.07732653617859,1702,Subscriber,1986,2,
