tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,
478,2018-03-01 15:19:08,2018-03-01 15:27:07,139,Dana Park,42.361780439606044,-71.10809952020645,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1221,Subscriber,1993,1,
668,2018-03-01 15:19:17,2018-03-01 15:30:25,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,115,Porter Square Station,42.387995,-71.119084,1902,Subscriber,1968,1,
1135,2018-03-01 15:20:08,2018-03-01 15:39:04,54,Tremont St at West St,42.354979,-71.063348,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512249236,-71.10061883926392,472,Subscriber,1967,1,
248,2018-03-01 15:21:12,2018-03-01 15:25:20,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,15,Subscriber,1999,1,
556,2018-03-01 15:21:31,2018-03-01 15:30:47,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,107,Ames St at Main St,42.3625,-71.08822,1251,Subscriber,1979,2,
689,2018-03-01 15:22:48,2018-03-01 15:34:18,33,Kenmore Square,42.348706,-71.097009,107,Ames St at Main St,42.3625,-71.08822,967,Subscriber,1975,2,
150,2018-03-01 15:22:59,2018-03-01 15:25:30,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,1137,Subscriber,1998,1,
294,2018-03-01 15:23:18,2018-03-01 15:28:13,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,529,Subscriber,1993,1,
655,2018-03-01 15:23:19,2018-03-01 15:34:14,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,36,Copley Square - Dartmouth St at Boylston St,42.34976701008725,-71.07732653617859,1072,Subscriber,1971,1,
322,2018-03-01 15:23:40,2018-03-01 15:29:02,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480377,1918,Subscriber,1990,1,
1201,2018-03-01 15:23:54,2018-03-01 15:43:55,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,11,Longwood Ave at Binney St,42.338629,-71.1065,718,Subscriber,1989,2,
1355,2018-03-01 15:24:27,2018-03-01 15:47:02,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,58,Beacon St at Arlington St,42.35554932336134,-71.07284188270569,821,Subscriber,1986,2,
832,2018-03-01 15:24:58,2018-03-01 15:38:51,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,42,Subscriber,1988,1,
226,2018-03-01 15:24:59,2018-03-01 15:28:46,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,525,Subscriber,1975,1,
245,2018-03-01 15:25:30,2018-03-01 15:29:35,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,1727,Subscriber,1985,1,
872,2018-03-01 15:25:30,2018-03-01 15:40:02,26,Washington St at Waltham St,42.341522,-71.068922,57,Columbus Ave at Massachusetts Ave,42.340542615516355,-71.08138847914233,1101,Subscriber,1969,1,
417,2018-03-01 15:25:39,2018-03-01 15:32:36,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,189,Kendall T,42.362427842912396,-71.08495473861694,1186,Subscriber,1988,2,
404,2018-03-01 15:25:58,2018-03-01 15:32:42,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,189,Kendall T,42.362427842912396,-71.08495473861694,800,Subscriber,1990,1,
435,2018-03-01 15:26:04,2018-03-01 15:33:19,35,Arch St at Franklin St,42.35581929709065,-71.05887290099417,4,Tremont St at E Berkeley St,42.345392,-71.069616,820,Subscriber,1961,1,
