tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,
926,2018-02-01 07:38:33,2018-02-01 07:54:00,133,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,57,Columbus Ave at Massachusetts Ave,42.340542615516355,-71.08138847914233,613,Subscriber,1988,1,
696,2018-02-01 07:38:58,2018-02-01 07:50:35,196,Roxbury YMCA - Warren St at MLK Blvd,42.31787329345602,-71.08243077993393,26,Washington St at Waltham St,42.341522,-71.068922,659,Subscriber,1992,2,
294,2018-02-01 07:39:15,2018-02-01 07:44:09,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,179,MIT Vassar St,42.355601213279265,-71.10394477844238,1373,Subscriber,1986,1,
492,2018-02-01 07:39:17,2018-02-01 07:47:29,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,228,One Memorial Drive,42.361619320766856,-71.0804355052096,1464,Subscriber,1986,1,
356,2018-02-01 07:39:31,2018-02-01 07:45:27,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1072,Subscriber,1984,1,
464,2018-02-01 07:39:39,2018-02-01 07:47:24,161,W Broadway at D St,42.3391085,-71.0514432,31,Seaport Hotel - Congress St at Seaport Ln,42.34881026188269,-71.04167744055303,1263,Subscriber,1981,1,
963,2018-02-01 07:39:51,2018-02-01 07:55:54,21,Prudential Center - Belvedere St,42.34652003998412,-71.08065776545118,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.357218503176526,-71.1138716340065,1773,Subscriber,1957,2,
178,2018-02-01 07:40:01,2018-02-01 07:42:59,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1298,Subscriber,1989,2,
768,2018-02-01 07:40:34,2018-02-01 07:53:22,36,Copley Square - Dartmouth St at Boylston St,42.34976701008725,-71.07732653617859,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,1126,Subscriber,1962,2,
894,2018-02-01 07:40:35,2018-02-01 07:55:29,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,179,MIT Vassar St,42.355601213279265,-71.10394477844238,1752,Subscriber,1965,1,
559,2018-02-01 07:40:43,2018-02-01 07:50:02,33,Kenmore Square,42.348706,-71.097009,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1658,Subscriber,1985,1,
899,2018-02-01 07:40:50,2018-02-01 07:55:50,98,Warren St at Chelsea St,42.371848,-71.060292,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,888,Subscriber,1964,2,
579,2018-02-01 07:40:52,2018-02-01 07:50:31,131,Jackson Square T Stop,42.32293117195949,-71.10014140605927,30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,496,Subscriber,1988,2,
992,2018-02-01 07:41:02,2018-02-01 07:57:35,189,Kendall T,42.362427842912396,-71.08495473861694,85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,143,Subscriber,1994,2,
432,2018-02-01 07:41:12,2018-02-01 07:48:24,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,1259,Subscriber,1970,1,
517,2018-02-01 07:41:33,2018-02-01 07:50:10,56,Dudley Square - Dudley St at Warren St,42.32854046293402,-71.08416482806204,30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,558,Subscriber,1991,2,
172,2018-02-01 07:41:33,2018-02-01 07:44:25,47,Cross St at Hanover St,42.362811,-71.056067,151,Surface Rd at India St,42.358155,-71.052163,1642,Subscriber,1982,1,
461,2018-02-01 07:41:37,2018-02-01 07:49:18,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,739,Subscriber,1976,1,
2884,2018-02-01 07:41:37,2018-02-01 08:29:41,11,Longwood Ave at Binney St,42.338629,-71.1065,135,ID Building East,42.344827,-71.028664,1133,Subscriber,1971,1,
552,2018-02-01 07:42:11,2018-02-01 07:51:24,19,Park Dr at Buswell St,42.347241,-71.105301,21,Prudential Center - Belvedere St,42.34652003998412,-71.08065776545118,234,Subscriber,1996,1,
622,2018-02-01 07:42:48,2018-02-01 07:53:11,69,Coolidge Corner - Beacon St @ Centre St,42.341598,-71.123338,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.3374174845973,-71.10286116600037,1976,Subscriber,1991,2,
225,2018-02-01 07:42:54,2018-02-01 07:46:39,189,Kendall T,42.362427842912396,-71.08495473861694,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,1178,Subscriber,1990,1,
705,2018-02-01 07:43:03,2018-02-01 07:54:48,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,107,Ames St at Main St,42.3625,-71.08822,640,Subscriber,1959,1,
1227,2018-02-01 07:43:11,2018-02-01 08:03:39,47,Cross St at Hanover St,42.362811,-71.056067,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,1833,Subscriber,1984,1,
319,2018-02-01 07:43:14,2018-02-01 07:48:33,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,179,MIT Vassar St,42.355601213279265,-71.10394477844238,1906,Subscriber,1987,2,
1223,2018-02-01 07:43:39,2018-02-01 08:04:02,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,21,Prudential Center - Belvedere St,42.34652003998412,-71.08065776545118,1044,Subscriber,1986,2,
492,2018-02-01 07:43:49,2018-02-01 07:52:01,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,59,Chinatown Gate Plaza,42.351356,-71.059367,206,Subscriber,1978,2,
950,2018-02-01 07:43:56,2018-02-01 07:59:47,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,94,Main St at Austin St,42.375603,-71.064608,324,Subscriber,1972,1,
467,2018-02-01 07:43:58,2018-02-01 07:51:46,26,Washington St at Waltham St,42.341522,-71.068922,192,Purchase St at Pearl St,42.354659,-71.053181,690,Subscriber,1971,1,
425,2018-02-01 07:44:12,2018-02-01 07:51:18,4,Tremont St at E Berkeley St,42.345392,-71.069616,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,1085,Subscriber,1988,2,
810,2018-02-01 07:44:16,2018-02-01 07:57:46,145,Rindge Avenue - O'Neill Library,42.392766,-71.129042,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,1586,Subscriber,1962,1,
615,2018-02-01 07:44:35,2018-02-01 07:54:50,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,210,Subscriber,1958,1,
1027,2018-02-01 07:44:38,2018-02-01 08:01:45,179,MIT Vassar St,42.355601213279265,-71.10394477844238,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,1749,Subscriber,1977,1,
446,2018-02-01 07:45:23,2018-02-01 07:52:49,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,58,Beacon St at Arlington St,42.35554932336134,-71.07284188270569,1140,Subscriber,1967,1,
286,2018-02-01 07:46:32,2018-02-01 07:51:18,39,Washington St at Rutland St,42.338514601785995,-71.07404083013535,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,1940,Subscriber,1991,1,
208,2018-02-01 07:46:43,2018-02-01 07:50:11,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,100,Davis Square,42.396969,-71.123024,834,Subscriber,1986,1,
930,2018-02-01 07:46:51,2018-02-01 08:02:22,66,Allston Green District - Griggs St at Commonwealth Ave TEMPORARY WINTER LOCATION,42.34922469338298,-71.13275302578586,30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,1058,Subscriber,1992,1,
572,2018-02-01 07:46:53,2018-02-01 07:56:25,71,Conway Park - Somerville Avenue,42.383405,-71.107593,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1703,Subscriber,1989,1,
457,2018-02-01 07:47:25,2018-02-01 07:55:03,47,Cross St at Hanover St,42.362811,-71.056067,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,842,Subscriber,1976,1,
378,2018-02-01 07:47:41,2018-02-01 07:54:00,36,Copley Square - Dartmouth St at Boylston St,42.34976701008725,-71.07732653617859,39,Washington St at Rutland St,42.338514601785995,-71.07404083013535,1923,Subscriber,1990,1,
649,2018-02-01 07:48:01,2018-02-01 07:58:50,8,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,1527,Subscriber,1988,1,
1187,2018-02-01 07:48:07,2018-02-01 08:07:55,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960632,729,Subscriber,1985,1,
794,2018-02-01 07:48:18,2018-02-01 08:01:32,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,1801,Subscriber,1983,1,
1108,2018-02-01 07:48:20,2018-02-01 08:06:48,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,635,Subscriber,1993,1,
528,2018-02-01 07:48:26,2018-02-01 07:57:15,81,Boylston St at Washington St,42.352409,-71.062679,31,Seaport Hotel - Congress St at Seaport Ln,42.34881026188269,-71.04167744055303,869,Subscriber,1963,1,
313,2018-02-01 07:48:40,2018-02-01 07:53:54,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,1919,Subscriber,1984,1,
