tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,
585,2017-12-01 15:10:54,2017-12-01 15:20:39,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1265,Subscriber,1998,1,
837,2017-12-01 15:11:47,2017-12-01 15:25:45,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,4,Tremont St at E Berkeley St,42.345392,-71.069616,1186,Subscriber,1994,1,
287,2017-12-01 15:11:56,2017-12-01 15:16:43,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,9,Commonwealth Ave at Buick St,42.35062177153799,-71.11288218766276,994,Subscriber,1995,1,
892,2017-12-01 15:11:59,2017-12-01 15:26:51,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,109,TD Garden - West End Park,42.36590788445084,-71.06446668505669,1687,Subscriber,1961,1,
779,2017-12-01 15:12:08,2017-12-01 15:25:08,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.357218503176526,-71.1138716340065,561,Subscriber,1960,2,
1165,2017-12-01 15:12:12,2017-12-01 15:31:38,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,113,Subscriber,1998,1,
219,2017-12-01 15:12:14,2017-12-01 15:15:54,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,992,Subscriber,1985,1,
442,2017-12-01 15:12:29,2017-12-01 15:19:51,25,South End Library - Tremont St at W Newton St,42.341332,-71.076847,42,Boylston St at Arlington St TEMPORARY WINTER LOCATION,42.352583438376996,-71.06766249993596,548,Subscriber,1984,2,
889,2017-12-01 15:12:41,2017-12-01 15:27:30,36,Copley Square - Dartmouth St at Boylston St,42.34976701008725,-71.07732653617859,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191315,51,Subscriber,1991,1,
352,2017-12-01 15:12:50,2017-12-01 15:18:42,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.357218503176526,-71.1138716340065,1766,Subscriber,1992,1,
1061,2017-12-01 15:13:34,2017-12-01 15:31:16,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,107,Ames St at Main St,42.3625,-71.08822,859,Subscriber,1986,2,
96,2017-12-01 15:13:48,2017-12-01 15:15:24,189,Kendall T,42.362427842912396,-71.08495473861694,107,Ames St at Main St,42.3625,-71.08822,1916,Subscriber,1996,2,
412,2017-12-01 15:14:06,2017-12-01 15:20:59,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,1863,Subscriber,1982,1,
590,2017-12-01 15:14:41,2017-12-01 15:24:32,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,21,Prudential Center - Belvedere St,42.345959,-71.082578,1239,Subscriber,1981,1,
374,2017-12-01 15:15:05,2017-12-01 15:21:20,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,47,Cross St at Hanover St,42.362811,-71.056067,1042,Subscriber,1967,1,
275,2017-12-01 15:15:13,2017-12-01 15:19:48,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,179,MIT Vassar St,42.355601213279265,-71.10394477844238,1841,Subscriber,1990,1,
281,2017-12-01 15:15:40,2017-12-01 15:20:21,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,189,Kendall T,42.362427842912396,-71.08495473861694,764,Subscriber,1999,1,
965,2017-12-01 15:16:48,2017-12-01 15:32:54,111,Packard Ave / Powderhouse Blvd,42.40449,-71.123413,79,Beacon St at Washington / Kirkland,42.37842,-71.105668,41,Subscriber,1988,1,
790,2017-12-01 15:16:49,2017-12-01 15:29:59,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,115,Porter Square Station,42.387995,-71.119084,1878,Subscriber,1968,1,
497,2017-12-01 15:17:12,2017-12-01 15:25:29,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191315,189,Kendall T,42.362427842912396,-71.08495473861694,525,Subscriber,1989,2,
